generation,best_fitness,mean_fitness,median_fitness,diversity,island,migration_event
24,11.206723485195084,56.22760149855305,55.20946723223131,0.3845625235896861,1,False
25,11.206723485195084,52.857494381687005,51.47702166318161,0.3531668112772998,1,False
26,11.206723485195084,54.27732058992733,55.26239469007192,0.3694733960076334,1,False
27,11.206723485195084,52.929252851638026,52.57071753950213,0.33273424276754693,1,False
28,11.206723485195084,53.09859913163075,56.091942514168096,0.38044683629299614,1,False
29,11.206723485195084,49.77375012541859,48.0694238499649,0.36508471595245745,1,False
30,8.53072696331607,44.8501952832494,45.01132254686962,0.30151990317307636,1,False
31,8.53072696331607,46.41079414180681,43.25436125269647,0.31639454863877337,1,False
32,8.53072696331607,44.800835553471025,42.199703875345904,0.2890836779004667,1,False
33,8.53072696331607,40.84510311192908,40.75856105741853,0.273671568570783,1,False
34,8.53072696331607,39.797147743171436,38.529469136284206,0.26545057977113157,1,False
35,8.53072696331607,40.52334162319688,38.38661981915638,0.2625795873420847,1,False
36,8.53072696331607,42.68380188894754,41.63129483646748,0.24648306004782944,1,False
37,8.53072696331607,39.31404642281988,38.02871778961847,0.2082261758673424,1,False
38,8.53072696331607,28.862556917097486,27.170426105355006,0.1640799279035701,1,False
39,8.53072696331607,29.956971008158536,28.919021304169434,0.17278374878985922,1,False
40,8.53072696331607,32.976486230015176,31.626551374523366,0.16083186528412413,1,False
0,106.52706477064412,188.70460605271126,188.62242456464134,2.997858401548334,2,False
1,100.95743706624565,168.7963253927479,165.822916374255,2.7148846893745624,2,False
2,100.95743706624565,162.83506335504123,167.79744394574647,2.5584296017883776,2,False
3,89.03743360653392,152.89927682226465,156.92622754883297,2.1884650095042457,2,False
4,78.69675851947844,134.5702520199278,133.70119123744763,1.8842274519533042,2,False
5,71.33602857928588,122.82643015207705,124.68892441361763,1.6466500428739663,2,False
6,51.27598825406767,121.15858157919644,122.92747809332081,1.5546137167778804,2,False
7,51.27598825406767,111.67794186870172,110.8577593647857,1.3700151450022946,2,False
8,51.27598825406767,108.88704915540748,110.02087982806859,1.2810617907255926,2,False
9,51.27598825406767,112.41736719275637,113.42009383589293,1.2281496440355721,2,False
10,51.27598825406767,106.66154595964669,109.22951765546341,1.1014604329246445,2,False
