generation,island,best_fitness,mean_fitness,diversity,migration_event
26,2,22.01233237778183,86.85365269889236,1.00588163828845,False
26,3,22.077959788832032,43.60487833128196,0.1797622869975743,False
27,0,25.85718421306491,88.16526312284503,0.7554713715732013,False
27,1,19.428841217732852,34.85283480306851,0.10628077660876385,False
27,2,22.01233237778183,76.80153135931964,0.7717736056448123,False
27,3,21.395987045966237,43.484831581267116,0.17849841712587114,False
28,0,25.85718421306491,75.68958802797489,0.586444520500051,False
28,1,18.44236960545794,32.643875391016586,0.10345873819876905,False
28,2,18.994967736241733,56.7388794265113,0.44071142556892695,False
28,3,20.562322039630402,39.27472693498057,0.15044430181612206,False
29,0,25.55800615746429,72.8967243681066,0.4765645056022133,False
29,1,17.61726268686526,33.612168364040244,0.10935667863215907,False
29,2,18.994967736241733,48.39639987471147,0.26078347276694946,False
29,3,20.562322039630402,40.91617115615895,0.16926226963342073,False
30,0,18.044614470582744,63.99291269113015,0.5968404502001003,True
30,1,17.61726268686526,31.133367689691816,0.130931516688151,True
30,2,17.61726268686526,41.12976267475628,0.18446227908538254,True
30,3,18.044614470582744,35.281992739854914,0.3563451427445637,True
31,0,18.044614470582744,62.886986697826266,0.7384229240586545,False
31,1,17.61726268686526,36.57246847153618,0.1582237056771455,False
31,2,17.02232739279981,43.88949339867801,0.1736923081736111,False
31,3,18.044614470582744,52.18565797526928,0.5686643153040848,False
32,0,14.713890006348635,70.06442129040529,0.7791699665667733,False
32,1,16.132656256065673,34.26349168137979,0.12065425717180056,False
32,2,17.02232739279981,39.00801763287083,0.15001089898074135,False
32,3,18.044614470582744,43.636880387956836,0.19917953237072186,False
33,0,14.713890006348635,72.48882960610825,0.7774314677056946,False
33,1,16.132656256065673,38.18871581085502,0.12503109771934678,False
33,2,17.02232739279981,40.11677197741997,0.16545944381935612,False
33,3,9.702681976211153,39.07578817032724,0.19476453610471264,False
34,0,14.713890006348635,74.28381938174034,0.6952401614620579,False
34,1,16.132656256065673,36.711153432963926,0.11781660373744951,False
34,2,17.02232739279981,38.667078348242654,0.15946374706712058,False
34,3,9.702681976211153,36.859951270435666,0.21165877516049783,False
35,0,14.713890006348635,69.88995052869404,0.6213559745487639,False
35,1,16.132656256065673,32.183271470326304,0.10004917038124464,False
35,2,17.02232739279981,34.610941281918215,0.1556061544922805,False
35,3,9.702681976211153,39.495065298175376,0.22439255594744467,False
36,0,12.857741199234567,65.23100211785275,0.6160133699592435,False
36,1,16.132656256065673,33.62791834984043,0.12039231065166234,False
36,2,17.02232739279981,32.58567108601664,0.1237127782225486,False
36,3,9.702681976211153,39.20254619803665,0.22003161059590104,False
37,0,12.350747640993916,63.146331488535516,0.6920068654553143,False
37,1,16.132656256065673,32.94086631407455,0.11537867062326927,False
37,2,17.02232739279981,33.89361720078969,0.1258439570352195,False
37,3,9.702681976211153,37.055743902575934,0.21742270325223156,False
38,0,12.350747640993916,71.49352628325205,0.7672845592259077,False
38,1,16.132656256065673,33.292480173202335,0.12402719685434202,False
38,2,16.52471434292943,34.89685397617007,0.11054605075571841,False
38,3,9.702681976211153,37.1337846838452,0.21649483598272412,False
39,0,12.350747640993916,71.0326128916614,0.8011095869099714,False
39,1,16.132656256065673,34.22413148888506,0.1203932464020228,False
39,2,16.44789085373094,32.65829158043635,0.10437539640204178,False
39,3,9.702681976211153,33.1221554503037,0.19984507348465652,False
40,0,9.702681976211153,67.29455344677268,0.7929828519065293,True
40,1,12.350747640993916,35.18620816958749,0.32287233942618976,True
40,2,16.132656256065673,32.86659292483563,0.11099485083598297,True
40,3,9.702681976211153,30.62062272175579,0.35683728764564704,True
